Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
A3KMH1;A3KMH1;19;19;19;von Willebrand factor A domain-containing protein 8;VWA8;>sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2;1;19;19;19;4;1;0;5;7;0;5;3;11;0;0;4;1;0;5;7;0;5;3;11;0;0;4;1;0;5;7;0;5;3;11;0;0;13.3;13.3;13.3;214.82;1905;1905;1;36;0;44004;2.8;0.5;0;4;4.5;0;3.4;2.2;7.3;0;0;16319000;2736900;124670;0;5010000;2814400;0;2524200;809740;2299300;0;0
A3KN83;A3KN83;3;3;2;Protein strawberry notch homolog 1;SBNO1;>sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1;1;3;3;2;3;1;0;1;1;0;0;1;0;1;2;3;1;0;1;1;0;0;1;0;1;2;2;0;0;0;0;0;0;0;0;1;1;2.8;2.8;1.9;154.31;1393;1393;1;11;0;19062;2.8;0.9;0;0.9;0.9;0;0;0.9;0;0.8;2;4412900;662440;229070;0;485050;48924;0;0;402750;0;271420;2313200
A4D1E9;A4D1E9;4;4;4;GTP-binding protein 10;GTPBP10;>sp|A4D1E9|GTPBA_HUMAN GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1;1;4;4;4;0;1;0;2;1;0;0;1;0;0;2;0;1;0;2;1;0;0;1;0;0;2;0;1;0;2;1;0;0;1;0;0;2;11.6;11.6;11.6;42932;387;387;1;7;0;5.9085;0;2.6;0;5.2;3.9;0;0;2.6;0;0;6.5;1606100;0;82206;0;1032900;32246;0;0;106270;0;0;352490
A5PLN9;A5PLN9;2;2;2;Trafficking protein particle complex subunit 13;TRAPPC13;>sp|A5PLN9|TPC13_HUMAN Trafficking protein particle complex subunit 13 OS=Homo sapiens GN=TRAPPC13 PE=1 SV=2;1;2;2;2;0;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;1;0;0;7;7;7;46523;417;417;1;4;0.0088968;1.7695;0;7;0;0;0;0;0;1.9;5;0;0;1867800;0;1127700;0;0;0;0;0;364200;375840;0;0
A5YKK6;A5YKK6;34;34;34;CCR4-NOT transcription complex subunit 1;CNOT1;>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2;1;34;34;34;12;9;2;20;8;2;5;22;11;6;9;12;9;2;20;8;2;5;22;11;6;9;12;9;2;20;8;2;5;22;11;6;9;19.4;19.4;19.4;266.94;2376;2376;1;113;0;204.4;7.8;4.8;0.9;12.2;4.6;1.2;3;11.9;5.3;3.2;4.5;86976000;7247100;5257700;134430;28364000;1444500;170970;13038000;14781000;2014000;5132100;9392700
A6NC98;A6NC98;3;3;3;Coiled-coil domain-containing protein 88B;CCDC88B;>sp|A6NC98|CC88B_HUMAN Coiled-coil domain-containing protein 88B OS=Homo sapiens GN=CCDC88B PE=1 SV=1;1;3;3;3;3;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2.2;2.2;2.2;164.81;1476;1476;1;4;0.0013782;3.1393;2.2;0;0;0.6;0;0;0;0;0;0;0;1552100;776310;0;0;775800;0;0;0;0;0;0;0
A6NCS6;A6NCS6;3;3;3;Uncharacterized protein C2orf72;C2orf72;>sp|A6NCS6|CB072_HUMAN Uncharacterized protein C2orf72 OS=Homo sapiens GN=C2orf72 PE=1 SV=2;1;3;3;3;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1;11.2;11.2;11.2;30.48;295;295;1;4;0.00022188;5.0301;0;0;0;3.1;0;3.7;0;3.1;0;0;4.4;1225500;0;0;0;588660;0;183370;0;161780;0;0;291730
A6NDG6;A6NDG6;5;5;5;Phosphoglycolate phosphatase;PGP;>sp|A6NDG6|PGP_HUMAN Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1;1;5;5;5;0;3;0;1;1;2;1;3;0;1;2;0;3;0;1;1;2;1;3;0;1;2;0;3;0;1;1;2;1;3;0;1;2;19.9;19.9;19.9;34006;321;321;1;15;0;11703;0;10.3;0;3.1;3.1;8.1;4.7;11.2;0;3.1;7.8;8653400;0;1779700;0;1155700;181820;382270;365540;3442600;0;538620;807060
A6NDU8;A6NDU8;3;3;3;UPF0600 protein C5orf51;C5orf51;>sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1;1;3;3;3;1;1;1;1;1;0;1;2;1;0;2;1;1;1;1;1;0;1;2;1;0;2;1;1;1;1;1;0;1;2;1;0;2;8.2;8.2;8.2;33.62;294;294;1;11;0;26263;4.8;4.8;4.8;4.8;4.8;0;4.8;7.8;4.8;0;8.2;8317400;1285900;838940;150550;2007800;183500;0;517070;1509300;246640;0;1577700
"A6NGU5;P19440;Q14390;B5MD39;P36268";"A6NGU5;P19440;Q14390;B5MD39;P36268";"2;2;1;1;1";"2;2;1;1;1";"2;2;1;1;1";"Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light chain;Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Gamma-glutamyltransferase light chain 2;Putative gamma-glutamyltransferase light chain 3;Inactive gamma-glutamyltranspeptidase 2";"GGT3P;GGT1;GGTLC2;GGTLC3;GGT2";">sp|A6NGU5|GGT3_HUMAN Putative gamma-glutamyltranspeptidase 3 OS=Homo sapiens GN=GGT3P PE=5 SV=2;>sp|P19440|GGT1_HUMAN Gamma-glutamyltranspeptidase 1 OS=Homo sapiens GN=GGT1 PE=1 SV=2;>sp|Q14390|GGTL2_HUMAN Gamma-glutamyltransferase light chain 2 OS=Homo s";5;2;2;2;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;4.9;4.9;4.9;61501;568;"568;569;218;225;569";1;3;0.00021501;4.3976;4.9;0;0;0;2.3;0;0;0;0;0;0;555210;478140;0;0;0;77067;0;0;0;0;0;0
A6NHL2;A6NHL2;8;1;1;Tubulin alpha chain-like 3;TUBAL3;>sp|A6NHL2|TBAL3_HUMAN Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2;1;8;1;1;4;6;3;4;2;4;4;6;4;4;3;1;0;0;1;0;0;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0;0;11.9;3.8;3.8;49908;446;446;1;6;0.0013683;3.0679;8.3;6.7;5.6;8.3;3.6;5.8;8.3;11.7;8.3;6.5;5.6;5602700;1034400;0;0;3400000;0;0;656670;416030;95635;0;0
A6NHR9;A6NHR9;33;33;33;Structural maintenance of chromosomes flexible hinge domain-containing protein 1;SMCHD1;>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2;1;33;33;33;6;5;0;3;5;0;1;13;27;3;0;6;5;0;3;5;0;1;13;27;3;0;6;5;0;3;5;0;1;13;27;3;0;22.8;22.8;22.8;226.37;2005;2005;1;64;0;144.88;5.3;2.5;0;1.9;2.9;0;0.3;7.7;18.6;2;0;38295000;7129000;2081000;0;2236600;350310;0;33877;10797000;14231000;1436000;0
"P14598;A6NI72";"P14598;A6NI72";"13;13";"13;13";"1;1";"Neutrophil cytosol factor 1;Putative neutrophil cytosol factor 1B";"NCF1;NCF1B";">sp|P14598|NCF1_HUMAN Neutrophil cytosol factor 1 OS=Homo sapiens GN=NCF1 PE=1 SV=3;>sp|A6NI72|NCF1B_HUMAN Putative neutrophil cytosol factor 1B OS=Homo sapiens GN=NCF1B PE=5 SV=2";2;13;13;1;4;12;2;1;2;5;5;7;3;2;1;4;12;2;1;2;5;5;7;3;2;1;0;1;0;0;0;0;0;1;1;0;0;39.2;39.2;2.3;44651;390;"390;391";1;52;0;50376;13.8;36.9;6.4;4.1;7.7;19.7;16.2;18.7;8.7;7.7;3.6;30016000;3682700;10160000;342510;520040;278000;3190700;2069100;6438900;675740;2407100;251140
A6NIH7;A6NIH7;2;2;2;Protein unc-119 homolog B;UNC119B;>sp|A6NIH7|U119B_HUMAN Protein unc-119 homolog B OS=Homo sapiens GN=UNC119B PE=1 SV=1;1;2;2;2;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;15.1;15.1;15.1;28136;251;251;1;3;0.00020756;3.7744;8;7.2;0;0;0;0;0;0;0;7.2;0;1476900;805930;298110;0;0;0;0;0;0;0;372840;0
A6NKD9;A6NKD9;1;1;1;Coiled-coil domain-containing protein 85C;CCDC85C;>sp|A6NKD9|CC85C_HUMAN Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;5.3;5.3;5.3;45209;419;419;1;2;0;8.07;0;0;0;5.3;0;0;0;0;0;5.3;0;317550;0;0;0;228090;0;0;0;0;0;89453;0
"A6NKF2;Q99856";"A6NKF2;Q99856";"1;1";"1;1";"1;1";"AT-rich interactive domain-containing protein 3C;AT-rich interactive domain-containing protein 3A";"ARID3C;ARID3A";">sp|A6NKF2|ARI3C_HUMAN AT-rich interactive domain-containing protein 3C OS=Homo sapiens GN=ARID3C PE=3 SV=1;>sp|Q99856|ARI3A_HUMAN AT-rich interactive domain-containing protein 3A OS=Homo sapiens GN=ARID3A PE=1 SV=2";2;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2.9;2.9;2.9;44073;412;"412;593";1;3;1;-2;0;2.9;0;0;0;2.9;0;0;0;0;0;4243600;0;445730;0;0;0;3797900;0;0;0;0;0
"A8CG34;Q96HA1;Q6PJE2;A6NF01";"A8CG34;Q96HA1";"3;2;1;1";"3;2;1;1";"3;2;1;1";"Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121";"POM121C;POM121";">sp|A8CG34|P121C_HUMAN Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens GN=POM121C PE=1 SV=2;>sp|Q96HA1|P121A_HUMAN Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens GN=POM121 PE=1 SV=2";4;3;3;3;1;0;0;3;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;6;6;6;125.06;1229;"1229;1249;187;834";1;4;0.00022041;4.9158;2;0;0;6;0;0;0;0;0;0;0;3940700;595960;0;0;3344800;0;0;0;0;0;0;0
A8K0S8;A8K0S8;1;1;1;Putative homeobox protein Meis3-like 2;MEIS3P2;>sp|A8K0S8|ME3L2_HUMAN Putative homeobox protein Meis3-like 2 OS=Homo sapiens GN=MEIS3P2 PE=2 SV=1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.4;3.4;3.4;39219;358;358;1;1;1;-2;0;0;0;0;3.4;0;0;0;0;0;0;10158;0;0;0;0;10158;0;0;0;0;0;0
"C4AMC7;Q6VEQ5;A8K0Z3;Q9NQA3;A8MWX3";"C4AMC7;Q6VEQ5;A8K0Z3;Q9NQA3;A8MWX3";"3;3;3;2;2";"3;3;3;2;2";"3;3;3;2;2";"Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1;WAS protein family homolog 6;Putative WAS protein family homolog 4";"WASH3P;WASH2P;WASH1;WASH6P;WASH4P";">sp|C4AMC7|WASH3_HUMAN Putative WAS protein family homolog 3 OS=Homo sapiens GN=WASH3P PE=1 SV=2;>sp|Q6VEQ5|WASH2_HUMAN WAS protein family homolog 2 OS=Homo sapiens GN=WASH2P PE=2 SV=2;>sp|A8K0Z3|WASH1_HUMAN WAS protein family homolog 1 OS=Homo sapiens GN=";5;3;3;3;0;0;1;1;1;0;1;3;0;0;0;0;0;1;1;1;0;1;3;0;0;0;0;0;1;1;1;0;1;3;0;0;0;8.6;8.6;8.6;49994;463;"463;465;465;447;477";1;8;0.00021057;3.9918;0;0;2.8;2.8;2.8;0;2.8;8.6;0;0;0;5189500;0;0;112910;2273500;328620;0;288960;2185400;0;0;0
A8K2U0;A8K2U0;3;3;3;Alpha-2-macroglobulin-like protein 1;A2ML1;>sp|A8K2U0|A2ML1_HUMAN Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens GN=A2ML1 PE=1 SV=3;1;3;3;3;1;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2.6;2.6;2.6;161.1;1454;1454;1;3;0.00081483;3.5042;0.6;0;2;0;0;0;0;0;0;0;0;517420;163440;0;353980;0;0;0;0;0;0;0;0
A8K7I4;A8K7I4;57;57;55;Calcium-activated chloride channel regulator 1;CLCA1;>sp|A8K7I4|CLCA1_HUMAN Calcium-activated chloride channel regulator 1 OS=Homo sapiens GN=CLCA1 PE=1 SV=3;1;57;57;55;8;22;0;4;0;56;41;0;0;4;27;8;22;0;4;0;56;41;0;0;4;27;7;21;0;4;0;54;39;0;0;4;26;53.6;53.6;52.8;100.22;914;914;1;583;0;323.31;12.5;29;0;6.6;0;51.1;47.9;0;0;8;32.1;2274300000;4408600;40047000;0;4829600;0;1404600000;643740000;0;0;5159300;171440000
A8MT69;A8MT69;1;1;1;Centromere protein X;STRA13;>sp|A8MT69|CENPX_HUMAN Centromere protein X OS=Homo sapiens GN=STRA13 PE=1 SV=1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17.3;17.3;17.3;8.9593;81;81;1;1;0;7.2943;0;0;0;0;0;0;0;17.3;0;0;0;456140;0;0;0;0;0;0;0;456140;0;0;0
A8MVU1;A8MVU1;13;1;1;Putative neutrophil cytosol factor 1C;NCF1C;>sp|A8MVU1|NCF1C_HUMAN Putative neutrophil cytosol factor 1C OS=Homo sapiens GN=NCF1C PE=5 SV=1;1;13;1;1;4;11;2;1;3;5;5;6;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;41.3;1.9;1.9;41.85;366;366;1;1;1;-2;14.8;36.9;6.8;4.4;10.1;21;17.2;17.5;6.8;8.2;3.8;4552.5;0;0;0;0;4552.5;0;0;0;0;0;0
"P62308;A8MWD9";"P62308;A8MWD9";"4;4";"4;4";"4;4";"Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15";"SNRPG;SNRPGP15";">sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1;>sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens GN=SNRPGP15 PE=5 SV=2";2;4;4;4;3;4;2;3;1;2;3;3;3;3;2;3;4;2;3;1;2;3;3;3;3;2;3;4;2;3;1;2;3;3;3;3;2;36.8;36.8;36.8;8496;76;"76;76";1;52;0;25949;26.3;36.8;26.3;26.3;9.2;26.3;26.3;26.3;26.3;36.8;25;75628000;3748300;20246000;122740;9684400;782000;4038600;5947600;21474000;2862700;2934200;3787900
A8MXV4;A8MXV4;7;7;7;Nucleoside diphosphate-linked moiety X motif 19, mitochondrial;NUDT19;>sp|A8MXV4|NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1;1;7;7;7;0;2;0;2;2;1;1;4;4;1;0;0;2;0;2;2;1;1;4;4;1;0;0;2;0;2;2;1;1;4;4;1;0;26.1;26.1;26.1;42233;375;375;1;18;0;9026;0;6.9;0;6.9;5.9;2.7;3.2;13.3;15.5;3.2;0;10162000;0;609700;0;1415700;289290;163690;497800;5766400;929200;490400;0
A9UHW6;A9UHW6;1;1;1;MIF4G domain-containing protein;MIF4GD;>sp|A9UHW6|MI4GD_HUMAN MIF4G domain-containing protein OS=Homo sapiens GN=MIF4GD PE=1 SV=1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5.9;5.9;5.9;25423;222;222;1;2;0.0030019;2.5316;5.9;0;0;5.9;0;0;0;0;0;0;0;1157500;301280;0;0;856210;0;0;0;0;0;0;0
B0I1T2;B0I1T2;11;9;9;"Unconventional myosin-Ig;Minor histocompatibility antigen HA-2";MYO1G;>sp|B0I1T2|MYO1G_HUMAN Unconventional myosin-Ig OS=Homo sapiens GN=MYO1G PE=1 SV=2;1;11;9;9;2;3;0;1;0;3;0;6;3;0;1;2;3;0;0;0;3;0;6;1;0;1;2;3;0;0;0;3;0;6;1;0;1;14.7;12.5;12.5;116.44;1018;1018;1;16;0;23789;4;4;0;0.9;0;4.8;0;6.6;3;0;1.1;7186200;1136800;2264700;0;0;0;860870;0;2500900;158090;0;264890
B1AJZ9;B1AJZ9;1;1;1;Forkhead-associated domain-containing protein 1;FHAD1;>sp|B1AJZ9|FHAD1_HUMAN Forkhead-associated domain-containing protein 1 OS=Homo sapiens GN=FHAD1 PE=2 SV=2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.7;0.7;0.7;161.9;1412;1412;1;1;0.0088857;1749;0;0;0;0;0;0;0;0;0;0;0.7;922010;0;0;0;0;0;0;0;0;0;0;922010
B1AK53;B1AK53;2;2;2;Espin;ESPN;>sp|B1AK53|ESPN_HUMAN Espin OS=Homo sapiens GN=ESPN PE=1 SV=1;1;2;2;2;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;3.4;3.4;3.4;91732;854;854;1;2;0.0049162;2.1283;0;0;2.2;0;0;0;0;0;1.2;0;0;625430;0;0;438230;0;0;0;0;0;187200;0;0
